,
-(a)z bestera,"al contrario, de otro modo; en contra"
-(e)la bide,"a causa de; gracias a, por medio de"
-(e)la bitarte,por medio de; a causa de
-(e)n bakoitzean,"cada vez que, siempre que; en cuanto"
-(e)n guztian/guztietan,"siempre que, cada vez que"
-(e)nez gero,"1 desde que // 2 puesto que, ya que"
-a betez,"en virtud de, según"
-ekikoa egin,"acabar, terminar, romper [una relación]"
-ekin batean/batera,"1 junto con, en compañía de; al mismo tiempo que // 2 (aditz-izenari loturik) tan pronto como, nada más, al tiempo que // 3 [Jainkoari buruz] por medio de, gracias a, con la ayuda de"
-ekin batera bidali/igorri/aurkeztu,adjuntar
-ekin burua bat egin,"(B) comprometerse con, unirse a"
-ekin hautsi,romper (con) [referido a relaciones]
-ekin ibili,"salir con, andar con; frecuentar la compañía de alguien"
-en aburuz,en opinión de
-en aditzea izan,"tener conocimiento de; conocer de oídas, haber oído hablar de; tener referencias"
-en agindu(eta)ra/aginduan,"(batez ere egon, jarri aditzekin) a las órdenes de"
-en ahotan jarri,poner en boca de
-en alde,"(egon, egin, jokatu, azaldu ... aditzekin) a/en favor de"
-en alde/aldera egin,"defender, propugnar; inclinar la balanza a favor de; apostar"
-en aldean,en comparación con; al lado de
-en aldera,"1 para con, respecto a // 2 a cambio de, a cuenta de, en compensación de"
-en aldez,"de parte de, en vez de"
-en alegia egin,"(Ipar.) aparentar, simular"
-en amoreagatik,"1 (zah.) por el amor de, por consideración a // 2 (zah.) a fin de"
-en anparoan,"bajo el amparo de, bajo la protección de; con la ayuda de"
-en antza eman/hartu,"ver un parecido con, darle un aire a"
-en antza izan/eduki,"tener parecido con, parecerse a"
-en araberako,"según, conforme (a), de acuerdo con; a tenor de, en virtud de"
-en ardurapean,bajo la responsabilidad de; bajo la tutela de; a cargo de
-en ariaz,"a causa de, por motivo de; por medio de; a fuerza de"
-en ariora,"según, conforme a, de acuerdo con; en proporción a"
-en arrimuan,"1 apoyándose en // 2 con la ayuda de, con la compañía de"
-en azpian agindu/debekatu,ordenar/prohibir bajo pena de
-en baitan,"(egon, izan, hartu, utzi... aditzekin) en manos de, a cargo de, bajo la responsabilidad de"
-en baitan egon,"depender de, estar en manos de"
-en balde,"semejante; parecido, -a; igual que"
-en bando,a/en favor de
-en bat,"1 (zenbakiari loturik) aproximadamente, poco más o menos, unos, unas // 2 alguno, -a"
-en batzuk,"algunos, -as; algún/alguno que otro, alguna que otra"
-en begitarte-aitzin,"en presencia de, ante los ojos de, delante de"
-en behar izan,"da ad. necesitar a/de, estar necesitado de"
-en berri agertu,dar a conocer; manifestar
-en berri eman,"dar noticia de, dar a conocer; anunciar, informar, avisar, participar; notificar, dar parte"
-en berri entzun,oír noticia(s) de
-en berri jakin/izan/jaso,"tener noticia de, saber sobre, conocer"
-en bertutez,"en virtud de, por fuerza de"
-en bitartez,"por medio de, a través de"
-en bizkar,"(hartu, utzi, bota aditzekin) a cargo de, a cuenta de"
-en bizkar(retik),"(bizi izan, jan, barre egin... aditzekin) a cuenta de, a expensas de, a cargo de"
-en bueltan,"(Heg.) (herr.) alrededor de, en torno a"
-en buruan,"1 al cabo de, en el plazo de, al fin de // 2 en mi, tu,... opinión, según creo, crees... // 3 al comienzo de, a la cabeza de, al frente de, delante de"
-en buruko,"1 en el plazo de, al cabo de // 2 por mi, su... cuenta, de mi, su... creación"
-en bururako ez izan,ser demasiado [para la persona a la que se hace referencia]
-en despit,a pesar de; a despecho de
-en eraginpean,"1 bajo la influencia de, bajo el efecto de // 2 (sarritan jarri aditzarekin) exponer(se)"
-en eraginpean egon,estar sometido a
-en eretzean,"1 al lado de, en frente de, delante de, ante, con respecto a, para con // 2 en comparación a"
-en eretzeko,"ante, con respecto a, para con"
-en erranean,siguiendo el consejo de
-en erranera,"según, al decir de, de acuerdo con"
-en erranera jaitsi,"(Ipar.) avenirse, amoldarse"
-en erranetik,"según, al decir de, de acuerdo con"
-en erreguz,"por ruego de, a instancias de"
-en esane(t)an,"1 a decir de, según // 2 a las órdenes de, al servicio de, obedeciendo a"
-en esane(ta)ra,"(batez ere, egon, ipini, ari izan eta antzeko aditzekin) a las órdenes de, al servicio de, a disposición de"
-en esku,"(egon, izan, hartu, utzi... aditzekin) en manos de, a cargo de, bajo la responsabilidad de"
-en esku(e)tan egon,estar en poder de
-en esku(e)tan erori,caer en manos/poder de
-en esku/esku(e)tan egon,"1 estar en poder de, obrar en poder de // 2 estar en manos de, estar bajo el poder"
-en eskuan/eskutan/eskuetan egon,obrar en poder de
-en eskuko izan/egon/...,"ser dependiente de; estar subordinado a, estar bajo la autoridad de; estar en mano de, estar a disposición de"
-en eskutik,"por obra de, de la mano de; por medio de"
-en ezpalekoa,"parecido, -a; semejante"
-en fabore(tan),"en favor de, a favor de"
-en gain,"bajo responsabilidad de, corresponderle a"
-en gainean,"acerca de, sobre"
-en gisa egon,"estar a cargo de, estar a cuidado de"
-en gorazarretan,"en homenaje a, en honor de"
-en gorazarrez,"en homenaje a, en honor de"
-en gura izan,"da ad. querer, desear"
-en heineko,"del nivel de, de la medida de"
-en iduriko,(GN/Ipar.) en opinión de
-en inguru(an) ibili,andar dando vueltas a; andar alrededor de; rondar
-en iritzian/iritziz,en opinión de
-en irudian,"1 (aurretik izena mugagabean ere har dezake) bajo la apariencia de, con el aspecto de // 2 en opinión de"
-en irudira,a semejanza
-en itxurapean,"en forma de; bajo la apariencia de, con el aspecto de"
-en itzal bihurtu,convertir(se) en mi/tu/su... sombra
-en izenean,"1 a nombre de // 2 de parte de, en nombre de"
-en izenean zin egin,jurar por
-en jarraian,"persiguiendo, acosando; a continuación de"
-en juzgua egin,"sospechar de, recelar de"
-en kalterik gabe,sin perjuicio de
-en kaltez/kaltean/kaltetan,en perjuicio de
-en kargu egin,"hacerse cargo de, encargarse de"
-en kargura,"a cargo de, al cuidado de"
-en kariaz,"a causa de, por motivo de"
-en karietara(t),"a causa de, con motivo de"
-en kausaz,"a/por causa de, por, debido a"
-en konformidadean,"conforme a, con arreglo a, en proporción a, según, de acuerdo con, acorde con"
-en kontra/aurka/kaltetan bihurtu,volver(se) en contra (de)
-en kontu,bajo la responsabilidad de; en manos de
-en kontu eta kalte,por cuenta y riesgo (de alguien)
-en kontura,"1 a cuenta de, a costa de, a expensas de // 2 a costa de, a expensas de"
-en lekuan,en vez de
-en lekuan egon,"estar en el lugar/pellejo de, hallarse en el lugar/pellejo de"
-en lepora,(B) a cargo de; a cuenta de
-en lepotik,"a cargo de, a cuenta de"
-en medioz,(Ipar.) por medio de
-en mesederako,"para bien de, en favor de"
-en mesedetan,"en favor de, para (el) bien de, por (el) bien de"
-en minik ez izan,"(Ipar.) no envidiar, tener poco que envidiar, no ser menos que"
-en omenez,en honor a/de; en homenaje a; en recuerdo a
-en ondoan,"comparado con, en comparación con"
-en ondorioz,"a consecuencia de, a/por causa de"
-en ordeak egin,sustituir (a alguien)
-en oroitzapenetan,en recuerdo de
-en pare,"semejante a, parecido a, similar a, igual que, como"
-en partetik,"1 de parte de // 2 en nombre de, en lugar de, de parte de"
-en partez,"1 en vez de, en lugar de // 2 de parte de, en nombre de"
-en pentzudan,"1 (B) (egon, utzi eta antzeko aditzekin) a cargo de, bajo la responsabilidad de // 2 (B) confiando en, con la esperanza de"
-en plazan,(Ipar.) en lugar de
-en poderioz,(G) a fuerza de; debido a
-en seinale,"señal (de), prueba (de), muestra (de)"
-en seinale izan,"da ad. ser señal de, ser prueba/muestra de"
-en tokian,en vez de
-en uste(t)an,en opinión de
-en zantzuan egon,(G) estar esperando
-en zerbitzuan/zerbitzura,al servicio de
-en zorrik ez izan,"[zerbaiten, norbaiten] no tener nada que envidiar a, no desmerecer de"
-en/-z axola izan,"du ad. preocuparse de algo, mostrar preocupación por algo"
-ena egin,"1 hacerse el/la; fingir ser, dárselas de; portarse, actuar como // 2 representar/interpretar el papel de; hacer de"
-enak egin,ser el fin de algo o alguien; estar acabado/perdido
-etan / -an aditu(a/k),"experto, -a; entendido, -a en"
-etan / -an barrena,a través de
-etan / -an zehar,a través de
-i aurka/kontra egin,hacer frente
-i aurpegi eman,hacer frente
-i aurre egin,hacer frente
-i buru egin,hacer frente
-i errua egotzi,inculpar
-k izan/eduki,obrar en poder de
-ko banderapean jarri/inskribatu,"(Itsas.) matricular, abanderar"
-ko berri jakin,"tener información, saber, conocer, tener noticia de"
-ko buelta egin,(Heg.) (herr.) recorrer el camino de ida y vuelta a
-n/-z/-tik/-ik behin,"una vez a/por, cada"
-t(z)eaz aparte,aparte de
-t(z)eaz bat(era),ademas de
-t(z)eaz gain(era),además de
-t(z)eko asmoan/asmotan/asmoz/asmoarekin,"(-rako atzizkia ere erabiltzen da) con la idea de, con la intención de; con el propósito de"
-tik lekora,1 (Ipar.) fuera del // 2 (Ipar.) inmediatamente después
-tik/-z kanpo,"1 fuera de, en el lado exterior // 2 aparte de, fuera de, además de"
-z aipatu,"referirse // hablar de, hablar acerca de"
-z bestalde,"además de, aparte de"
-z estali,"cubrir(se) de, llenar(se) de"
-z gain,además de
-z gaindi egon/izan,"estar colmado de, estar rebosante de, estar rebosando"
-z gainera,"además de, aparte de"
-z gero,"1 (aditzaren era burutuari edo izen-sintagmari loturik) después de, una vez que; desde // 2 (aditzaren era burutuari loturik) en (el) caso de que; si"
-z ostean,"además de, aparte de"
-z osterantzean,"(batez ere B) además de, aparte de"
-z osterantzeko,"salvo, menos, excepto"
-z zin egin,jurar por
-z/-(e)nez geroztik,desde que
"... ez ezik, (baita)... ere","no solo..., sino..."
...t(z)eko zorian egon,estar a punto de...
(-en) azalpean,bajo la superficie/piel/corteza; bajo el aspecto de
(-en) banderape,bajo (la) bandera de
(-en) bete izan,"ser tanto como, ser igual a, ser comparable a"
(-en) bidez,"por medio de, a través de, valiéndose de"
(-en) helbidean,"a mano, al alcance de la mano, al alcance (de)"
(-en) irispidean,"(izan, jarri aditzekin) a mano, al alcance de la mano, al alcance (de)"
(-en) papera(k) egin,"1 simular, fingir, aparentar, hacer el papel de // 2 hacer el papel de"
(-en) peskizan,"1 (Ipar.) con la esperanza de; esperando // 2 (Ipar.) al alcance de, a disposición de // 3 (Heg.) a la búsqueda de, al encuentro de"
(-en) truke/trukean,"a cambio, a/en trueque"
(ahoan) bilorik gabe,"claramente, a las claras, sin pelos en la lengua"
"(alde) batetik..., bestetik...","por una parte..., por otra...; por un lado..., por otro..."
(begien) bistatik kendu/alde egin/urrundu/...,bistatik kendu
(denbora-)sari,(Kir.) bonificación
(ezkontzeko) mandatu egin,"prometerse en matrimonio, pedir la mano"
(inoren) pertzak egin,acabar lo que se daba; no tener remedio; morir
(maite-)maite egin,"acariciar, besar"
(mele-)erdilari,(Kir.) medio de melé
(men-)menean,(Ipar.) a punto de
(motor-)erregai,carburante
(objektibo) angeluhandi,(Arg.) gran angular
(txelba) urraburu,(Zool.) dorada (Sparus aurata)
(txori-)izugarri,espantapájaros; espantajo
a ze(r); hara zer,"(harridurazkoetan) qué; vaya, ¡menudo...!, ¡menuda...!"
abade egin,(B) ordenarse sacerdote
abadegai,"iz. (B) seminarista, aspirante a sacerdote, ordenando"
abadegintza,iz. (B) ordenación sacerdotal
abadetar,adj. (B) clerical [del clero o afecto y sumiso al clero]
abadetasun,1  iz. [abadearen kargua eta egitekoa] abadía // 2  iz. (B) [apaizgoa] sacerdocio
abagune,"1  iz. ocasión propicia/buena; oportunidad, coyuntura // 2  iz. intervalo de tiempo"
"abaildu, abail, abailtzen","1  da/du ad. abatir(se), fatigar(se) // 2  da/du ad. abatirse los árboles, las ramas de los árboles, con el peso de la fruta"
abaildura,"iz. agotamiento, cansancio, fatiga"
abako,1 iz. ábaco // 2 iz. (Arkit.) ábaco
abaldun,"adj./iz. (Zuz.) avalado, -a"
"abandonatu, abandona, abandonatzen","1  du ad. abandonar // 2  du ad. abandonar, dejar de lado // 3  du ad. (Zuz.) abandonar"
abandonatze,iz. (Zuz.) abandono
abant egin,remar [hacia adelante]
abantailatsu,"izond. ventajoso, -a"
abantailatu,"izond. aventajado, -a, sobresaliente"
"abantailatu, abantaila(tu), abantailatzen",du ad. (Ipar.) (zah.) aventajar
abantari,"remero, -a"
abantzamendu,"avance, progreso"
"abantzatu, abantza, abantzatzen","1  da/du ad. (Ipar.) (herr.) avanzar, adelantar(se); mejorar // 2  du ad. (Ipar.) [dirua] prestar, adelantar"
abantzu,"casi, prácticamente"
abantzu izan,"estar a punto de morir, estar agonizando, estar en las últimas"
abantzuño,casi; a falta de nada
abar,"1  iz. rama pequeña // 2  iz. (pl.) leña // 3  iz. (pl.) residuos, restos // 4  iz. cosa de poco valor"
abarka(k),abarca(s)
abarkadun,"adj./iz. (gehienetan gizarte-klasetzat hartua, gutxiesgarria) campesino, -a, aldeano, -a"
abarkagile,"iz. abarquero, -a"
abarkagintza,iz. confección/fabricación de abarcas
abarkari,cordón para ajustar las abarcas
abarketa,iz. alpargata
abarketagintza,iz. alpargatería [fabricación]
abarketari,"alpargatero, -a"
abaro,"1 iz. [abereentzat] sombra // 2 iz. (hed.) refugio // 3 iz. (Ekol.) monte tallar, monte bajo // iz./izond. ávaro, -a [pueblo eurasiático]"
abaro egin,"sestear, pasar la siesta durmiendo [el ganado]"
abarotsu,"izond. frondoso, -a, sombrío, -a"
"abarrakitu, abarraki, abarrakitzen","da/du ad. romper, destrozar, despedazar, hacer(se) añicos"
"abarreztatu, abarrezta, abarreztatzen",du ad. cubrir de ramas
abartegi,iz. depósito de leña
abartsu,"izond. abundante en ramas, frondoso, -a"
"abartu, abar(tu), abartzen",da ad. ramificarse
abatar,iz. (Inform.) avatar
abatari,centinela que avisa el paso de las palomas
abbastar,adj./iz. abasí
"abdikatu, abdika, abdikatzen",du ad. abdicar
abdomen,iz. (Anat.) abdomen
abegi,"1  iz. acogida, recibimiento // 2  iz. rostro // 3  iz. [babesa] acogida"
abegikor,"izond. acogedor, -a, hospitalario, -a"
abegikortasun,iz. hospitalidad
abegitsu,"izond. acogedor, -a, hospitalario, -a"
abeilanaketa,iz. (Teknol.) avellanado
abelazkuntza,"iz. ganadería, crianza de ganado"
abelbide,"iz. cañada, vía pecuaria, vía para los ganados trashumantes"
abelburu,"res, cabeza de ganado"
abeldun,"1 adj./iz. ganadero, -a // 2 adj./iz. jinete"
abelera,"situación; resolución, resultado de algo"
abeltegi,cuadra; establo
abeltzain,"iz. pastor, -a; ganadero, -a"
abendualdi,iz. (Erl.) tiempo de Adviento
abentura,iz. aventura
abenturazale,"iz./izond. aventurero, -a"
aberasbide,iz. modo de enriquecerse
aberasgarri,"izond. enriquecedor, -a"
aberaskeria,alarde de rico // riqueza desmesurada/excesiva
aberasketa,1  iz. (zah.) riqueza // 2  iz. enriquecimiento
aberaskume,"iz. (gutxiesgarria) hijo, -a de rico; descendiente de rico, pijo, -a"
aberastasun,"1  iz. riqueza, abundancia de bienes; condición de rico, -a // 2  iz. (pl.) bienes, riquezas // 3  iz. riqueza, abundancia relativa"
abere,"mamífero mayor doméstico, especialmente el destinado al trabajo y a la producción de carne"
abere-talde,rebaño
aberekeria,"bestialidad, brutalidad"
aberekoi,"izond. animal; bestial, brutal"
aberetasun,"1  iz. animalidad, condición animal // 2  iz. brutalidad, bestialidad"
aberezale,iz./izond. aficionado a los animales
aberkide,compatriota
aberkoi,"izond. patriótico, -a"
aberri,patria; nación
aberrigabe,iz./izond. apátrida
abertimendu,"advertencia, aviso"
"abertitu, aberti, abertitzen","dio ad./ du ad. (Ipar.)  (herr.) advertir, avisar"
abertzale,iz./izond. patriota; nacionalista
abertzalekeria,patriotería
abertzaletasun,"iz. patriotismo, nacionalismo [cualidad]"
abeslari,"cantante, cantor, -a"
abestalde,"iz. grupo de cantantes, coro"
abestaldi,"iz. recital de canto, festival (de canto)"
abiaburu,"punto de partida, punto de arranque, origen"
abiada hartu,tomar impulso/carrerilla; coger velocidad; embalarse
abiadan,"a toda prisa, rápidamente"
abiadura,"1 iz. (Heg.) velocidad // 2 iz. (GN/Ipar.) comienzo, partida, arranque"
abiadura-aldagailu,(Teknol.) cambio de velocidades/marchas
abiadura-lasterkari,(Kir.) velocista
abiadura-neurgailu,(Aeron.) (Autom.) velocímetro
abiagailu,iz. (Teknol.) arrancador; (motor de) arranque
abiagune,"punto de partida, punto de arranque, origen"
abialdi,"marcha, salida; intento"
abiamen,"1  iz. (batez ere Ipar.) comienzo, principio // 2  iz. (batez ere Ipar.) (pl.) preparativos"
abian,"1  adb. en marcha; comenzando, a punto de // 2  adb. al momento, al instante"
abian egon,estar en marcha
abian jarri/ipini,poner en marcha
abiapuntu,"iz. punto de partida, punto de arranque, origen"
"abiarazi, abiaraz, abiarazten",du ad. poner en marcha; iniciar; impulsar
abiarazle,"iz./izond. iniciador, -a; impulsor, -a"
abiasari,bajada de bandera (de taxi)
"abiatu, abia, abiatzen","da ad. ponerse en marcha, echar a andar; dirigirse, partir, salir, marcharse"
abilamendu,"iz. (Ipar.) (zah.) vestimenta, ropa"
abilki,adb. (Ipar.) hábilmente
abiltasun,"iz. habilidad, destreza"
abisu,"1  iz. consejo, advertencia, aviso // 2  iz. aviso, recado, mensaje"
abisu eman,"avisar, advertir"
abitu-hartze; abitu-janzte,toma de hábito
abixoi handi,(Zool.) abichón (Atherina presbiter)
abizari,nidal [huevo]
abokatu,"abogado, -a"
"abolitu, aboli, abolitzen","du ad. (Zuz.) abolir [un régimen, la esclavitud...]"
abonamendu,1 iz. abono // 2 iz. (batez ere Ipar.) [harpidetza] suscripción
abondo,"adb. abundantemente, en abundancia"
abordatze,1  iz. (Itsas.) [talka] abordaje
abortatze,iz. aborto
abortu-eragile,(Med.) abortivo [producto]
abrikotondo,"iz. (Bot.) albaricoquero, albaricoque, alberchiguero, albérchigo (Prunus armeniaca)"
absolutuki,"adb. absolutamente; del todo, completamente, totalmente, en su totalidad"
absolututasun,"iz. absolutidad, cualidad de absoluto"
aburu,"opinión // conjetura, creencia confusa, imaginación"
aburukide,iz. (persona) de la misma opinión
adabegitsu,"izond. nudoso, -a"
adabetarte,iz. (Bot.) entrenudo
adaburu,iz. copa [del árbol]; ramaje
adakaitz,izond. (L) oveja que tiene cuernos
adardun,"1 adj. cornudo, -a, con cuernos; que tiene extremos puntiagudos // 2 adj. que tiene ramas; ramoso, -a // 3 adj./iz. (lgart.) [pertsona] cornudo, -a, que le han puesto los cuernos"
adargabe,1  izond. (el) que no tiene ramas // 2  izond. (el) que no tiene cuernos
adarjotze,"iz. broma, tomadura de pelo; burla, mofa"
adarka egin,"cornear, dar cornadas"
adarkada,"iz. cornada, golpe de cuerno"
adarkadura,"1 iz. ramificación; estructura ramificada // 2 iz. (Anat.) ramificación, rama"
adarkari,"acorneador, -a, que da cornadas"
adarkatze,"1  iz. ramificación, bifurcación"
adaro,"1 iz. (Ipar.) utensilio semejante al rastro utilizado para limpiar la cuadra y otras dependencias del caserío // 2 iz. (Ipar.) pala que se utilizaba en los caseríos para recoger las cenizas, las brasas, el estiércol..."
adarrarte,iz. espesura
adarrondo,iz. (Ipar.) nudo [de la madera]
adarrondotsu,"izond. (Ipar.) nudoso, -a"
adarsardi,"izond. veleto, -a, corniveleto, -a"
adartsu,"1 izond. frondoso, -a, lleno, -a de ramas // 2 izond. cornudo, -a"
adasdun,"adj. de pelo largo; melenudo, -a"
adausi egin,ladrar
adei,"1  iz. deferencia, respeto, cortesía; afabilidad, amabilidad // 2  iz. [zerukoa] gracia"
adeigabe,"izond. irreverente, impío, -a; irrespetuoso, -a; inconsiderado, -a; profano, -a"
adeitasun,"iz. deferencia, respeto, cortesía; afabilidad, amabilidad"
adeitsu,"izond. deferente, respetuoso, -a, cortés, reverente; afable, amable"
adelazale,"iz. (Z) preparador, -a, organizador, -a"
adi,"1 adb. atentamente, con atención // 2 iz. atención // 1 iz. inteligencia, entendimiento // 2 iz. intención"
adia egin,"gemir, plañir"
adiagile,iz. plañidera
adiakari,plañidera
adibide,"1 iz. ejemplo // 2 iz. consejo, advertencia // 3 iz. explicación, significado"
adibidetegi,compendio de ejemplos
adiera,"1  iz. significado, sentido; modo de entender // 2  iz. (Hizkl.) acepción // 3  iz. inteligencia, entendimiento // 4  iz. atención, vigilancia"
adierabakar,"izond. (Hizkl.) unívoco, -a"
adierazezin,"inexpresable; inexplicable; inefable, indecible"
